DATE,TEMP,VISIB,WDSP,PRCP,SNDP
1/1/2025,31.3,9.8,11.3,0.34,999.9
1/2/2025,26.9,10,8.6,0,999.9
1/3/2025,24.5,9.3,10.1,0.01,999.9
1/4/2025,18.4,10,8.7,0,999.9
1/5/2025,18.2,10,6.5,0,999.9
1/6/2025,23.9,6.3,12.9,0,999.9
1/7/2025,21.6,10,7.5,0.01,999.9
1/8/2025,19.9,10,5.9,0,999.9
1/9/2025,20.1,10,5,0,999.9
1/10/2025,24.9,5.8,8,0,2
1/11/2025,28.4,8.6,6.4,0.13,1.2
1/12/2025,29.8,7.1,10.4,0,1.2
1/13/2025,17.3,10,13,0.03,1.2
1/14/2025,14.2,8.7,8.7,0,1.2
1/15/2025,10.9,10,6.1,0.01,1.2
1/16/2025,25.6,9.1,11,0.01,1.2
1/17/2025,34.8,10,10.1,0,999.9
1/18/2025,33.9,10,11.8,0,999.9
1/19/2025,11.6,10,11.2,0,999.9
1/20/2025,3.6,10,10.8,0,999.9
1/21/2025,-1.1,10,10.6,0,999.9
1/22/2025,8.3,8.8,11.7,0,999.9
1/23/2025,20.5,7.8,8.9,0.03,1.2
1/24/2025,10.7,10,6.6,0.01,999.9
1/25/2025,27.4,10,11.6,0,999.9
1/26/2025,25.8,10,8.8,0,999.9
1/27/2025,27.1,10,11.4,0,999.9
1/28/2025,37.8,10,11,0,999.9
1/29/2025,42.4,10,12.8,0,999.9
1/30/2025,37.9,10,6.4,0,999.9
1/31/2025,39.2,3.1,11,0.57,999.9
2/1/2025,31.8,10,12.9,1.18,999.9
2/2/2025,35.6,9,8.9,0,999.9
2/3/2025,39.5,5.4,6.7,0,999.9
2/4/2025,28.8,10,13.1,0,999.9
2/5/2025,26.4,10,10.9,0,999.9
2/6/2025,31.4,7.2,9.7,0.05,999.9
2/7/2025,26.4,10,9.6,0,999.9
2/8/2025,29.9,9.2,6.4,0,999.9
2/9/2025,28.1,9.9,7.7,0.01,999.9
2/10/2025,25.2,10,4.5,0,999.9
2/11/2025,24.9,9.4,9.5,0,999.9
2/12/2025,24.5,6.8,12.1,0.01,1.2
2/13/2025,20.3,7.5,10.4,0.17,2
2/14/2025,12,10,7.4,0,2
2/15/2025,28.7,8.4,6.5,0.15,3.1
2/16/2025,27.1,8.5,14.3,0.02,3.1
2/17/2025,8.4,10,10,0,3.1
2/18/2025,3.3,10,8.4,0,2
2/19/2025,8.6,10,7.8,0,2
2/20/2025,12.3,10,8.3,0,2
2/21/2025,18.2,10,7,0,2
2/22/2025,22.7,10,9.7,0,1.2
2/23/2025,31.9,10,6.1,0,1.2
2/24/2025,43.3,10,10.6,0,1.2
2/25/2025,47,10,5.7,0.02,999.9
2/26/2025,42.2,9.8,5.7,0.06,999.9
2/27/2025,41.5,7.7,9.6,0.03,999.9
2/28/2025,44,10,11.8,0,999.9
3/1/2025,31.6,10,14.4,0,999.9
3/2/2025,25.7,10,3,0,999.9
