Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
2025-01-01, 30.0, T, M, M
2025-01-02, 26.5, 0.00, M, M
2025-01-03, 21.0, 0.00, M, M
2025-01-04, 17.5, 0.00, M, M
2025-01-05, 17.0, T, M, M
2025-01-06, 22.5, T, M, M
2025-01-07, 20.0, 0.00, M, M
2025-01-08, 16.0, 0.00, M, M
2025-01-09, 18.0, 0.00, M, M
2025-01-10, 26.5, T, M, M
2025-01-11, 29.5, 0.00, M, M
2025-01-12, 29.0, 0.01, M, M
2025-01-13, 15.0, T, M, M
2025-01-14, 12.5, T, M, M
2025-01-15, 14.5, T, M, M
2025-01-16, 30.0, T, M, M
2025-01-17, 39.5, 0.00, M, M
2025-01-18, 26.0, 0.00, M, M
2025-01-19, 6.0, 0.00, M, M
2025-01-20, 4.0, 0.00, M, M
2025-01-21, -2.0, T, M, M
2025-01-22, 13.0, T, M, M
2025-01-23, 15.0, T, M, M
2025-01-24, 11.0, 0.00, M, M
2025-01-25, 31.5, 0.00, M, M
2025-01-26, 24.0, 0.00, M, M
2025-01-27, 32.5, 0.00, M, M
2025-01-28, 36.0, 0.00, M, M
2025-01-29, 38.5, 0.00, M, M
2025-01-30, 38.5, T, M, M
2025-01-31, 39.0, 0.03, M, M
2025-02-01, 29.0, 0.00, M, M
2025-02-02, 38.5, T, M, M
2025-02-03, 36.0, T, M, M
2025-02-04, 26.5, T, M, M
2025-02-05, 28.0, T, M, M
2025-02-06, 33.0, T, M, M
2025-02-07, 24.5, 0.00, M, M
2025-02-08, 29.0, T, M, M
2025-02-09, 23.5, T, M, M
2025-02-10, 22.5, 0.00, M, M
2025-02-11, 22.0, T, M, M
2025-02-12, 23.5, M, M, M
2025-02-13, 12.0, T, M, M
2025-02-14, 12.5, M, M, M
2025-02-15, 31.0, T, M, M
2025-02-16, 19.0, T, M, M
2025-02-17, 3.0, 0.00, M, M
2025-02-18, 2.0, 0.00, M, M
2025-02-19, 7.5, 0.00, M, M
2025-02-20, 16.5, 0.00, M, M
2025-02-21, 17.0, 0.00, M, M
2025-02-22, 24.0, 0.00, M, M
2025-02-23, 30.5, 0.00, M, M
2025-02-24, 48.0, T, M, M
2025-02-25, 43.0, 0.03, M, M
2025-02-26, 38.5, 0.20, M, M
2025-02-27, 39.0, 0.00, M, M
2025-02-28, 45.5, 0.00, M, M
2025-03-01, 26.0, 0.00, M, M
2025-03-02, 25.5, 0.00, M, M
2025-03-03, 41.0, 0.00, M, M
2025-03-04, 48.5, 0.61, M, M
2025-03-05, 41.0, 0.46, M, M
2025-03-06, 34.0, 0.00, M, M
2025-03-07, 35.5, 0.07, M, M
2025-03-08, 38.5, 0.00, M, M
2025-03-09, 46.5, 0.00, M, M
2025-03-10, 52.0, 0.00, M, M
2025-03-11, 43.5, 0.00, M, M
2025-03-12, 39.0, 0.00, M, M
2025-03-13, 43.5, 0.00, M, M
2025-03-14, 58.0, M, M, M
2025-03-15, M, M, M, M
2025-03-16, 31.0, M, M, M
2025-03-17, 36.5, M, M, M
2025-03-18, 47.0, M, M, M
2025-03-19, 38.5, M, M, M
2025-03-20, 36.5, M, M, M
2025-03-21, 43.5, T, M, M
2025-03-22, 39.5, 0.00, M, M
2025-03-23, 41.0, 0.28, M, M
2025-03-24, 40.0, T, M, M
2025-03-25, 40.0, 0.00, M, M
2025-03-26, 38.0, 0.00, M, M
2025-03-27, 47.5, T, M, M
2025-03-28, 63.5, 0.21, M, M
2025-03-29, 55.0, T, M, M
2025-03-30, 42.5, 0.20, M, M
2025-03-31, 40.5, 0.06, M, M
2025-04-01, 36.5, T, M, M
2025-04-02, 52.0, 0.98, M, M
2025-04-03, 47.0, 0.00, M, M
2025-04-04, 40.5, 0.08, M, M
2025-04-05, 45.5, 0.20, M, M
2025-04-06, 41.5, 0.00, M, M
2025-04-07, 37.0, T, M, M
2025-04-08, 33.5, 0.00, M, M
2025-04-09, 41.0, 0.09, M, M
2025-04-10, 39.0, 0.03, M, M
2025-04-11, 43.5, 0.00, M, M
2025-04-12, 47.5, 0.00, M, M
2025-04-13, 56.5, T, M, M
2025-04-14, 57.0, 0.00, M, M
2025-04-15, 47.0, 0.03, M, M
2025-04-16, 39.5, 0.00, M, M
2025-04-17, 51.0, 0.02, M, M
2025-04-18, 65.0, 0.28, M, M
2025-04-19, 51.0, 0.01, M, M
2025-04-20, 43.5, 0.23, M, M
2025-04-21, 50.0, T, M, M
2025-04-22, 51.0, 0.03, M, M
2025-04-23, 58.5, T, M, M
2025-04-24, 59.5, 0.00, M, M
2025-04-25, 53.0, T, M, M
2025-04-26, 46.5, 0.00, M, M
2025-04-27, 48.5, 0.00, M, M
2025-04-28, 67.5, 0.00, M, M
2025-04-29, 60.0, 0.00, M, M
2025-04-30, 49.0, T, M, M
2025-05-01, 53.0, 1.02, M, M
2025-05-02, 50.5, 0.02, M, M
2025-05-03, 49.5, 0.00, M, M
2025-05-04, 52.0, 0.03, M, M
2025-05-05, 50.5, T, M, M
2025-05-06, 60.5, 0.00, M, M
2025-05-07, 56.0, 0.00, M, M
2025-05-08, 49.5, 0.00, M, M
2025-05-09, 50.5, 0.00, M, M
2025-05-10, 57.0, 0.00, M, M
2025-05-11, 53.5, 0.00, M, M
2025-05-12, 60.0, 0.00, M, M
2025-05-13, 65.5, T, M, M
2025-05-14, 66.0, 0.00, M, M
2025-05-15, 70.0, 0.17, M, M
2025-05-16, 73.5, T, 0.0, 0
2025-05-17, 62.0, 0.00, M, M
2025-05-18, 51.5, 0.00, M, M
2025-05-19, 48.0, 0.00, M, M
2025-05-20, 48.5, 0.62, M, M
2025-05-21, 49.5, 0.36, M, M
2025-05-22, 50.5, 0.02, M, M
2025-05-23, 50.5, 0.00, M, M
2025-05-24, 49.5, 0.00, M, M
2025-05-25, 55.0, 0.00, M, M
2025-05-26, 56.5, 0.00, M, M
2025-05-27, 61.5, 0.00, M, M
2025-05-28, 57.5, 0.43, M, M
2025-05-29, 61.5, 0.03, M, M
2025-05-30, 61.5, 0.03, M, M
2025-05-31, 54.5, 0.00, M, M
2025-06-01, 53.0, 0.00, M, M
2025-06-02, 64.5, 0.00, M, M
2025-06-03, 78.0, 0.34, M, M
2025-06-04, 62.0, 0.39, M, M
2025-06-05, 62.5, 0.00, M, M
2025-06-06, 66.0, 0.00, M, M
2025-06-07, 64.0, 0.00, M, M
2025-06-08, 68.5, 0.18, M, M
2025-06-09, 61.5, T, M, M
2025-06-10, 66.0, 0.00, M, M
2025-06-11, 74.5, 0.00, M, M
2025-06-12, 68.5, T, M, M
2025-06-13, 63.0, T, M, M
2025-06-14, 65.5, 0.00, M, M
2025-06-15, 67.0, 0.00, M, M
2025-06-16, 73.5, 0.00, M, M
2025-06-17, 81.5, 0.01, M, M
2025-06-18, 73.0, 0.57, M, M
2025-06-19, 75.0, 0.05, M, M
2025-06-20, 75.5, T, M, M
2025-06-21, 87.0, 0.00, M, M
2025-06-22, 89.5, M, M, M
2025-06-23, 86.5, 0.00, M, M
2025-06-24, 79.5, 0.08, M, M
2025-06-25, 75.0, 0.00, M, M
2025-06-26, 81.0, 0.07, M, M
2025-06-27, 80.5, 0.00, M, M
2025-06-28, 72.5, 0.00, M, M
2025-06-29, 80.0, 0.45, M, M
2025-06-30, 79.0, 0.00, M, M
2025-07-01, 77.0, 0.00, M, M
2025-07-02, 77.0, 0.00, M, M
2025-07-03, 77.5, 0.00, M, M
2025-07-04, 79.0, 0.54, M, M
2025-07-05, 83.0, M, M, M
2025-07-06, 74.5, M, M, M
2025-07-07, 70.0, M, M, M
2025-07-08, 74.5, M, M, M
2025-07-09, 72.5, M, M, M
2025-07-10, 71.5, M, M, M
2025-07-11, 75.5, M, M, M
2025-07-12, 77.0, M, M, M
2025-07-13, 71.5, M, M, M
2025-07-14, 74.0, M, M, M
2025-07-15, M, M, M, M
2025-07-16, M, M, M, M
2025-07-17, M, 0.00, M, M
2025-07-18, 68.5, M, M, M
2025-07-19, M, M, M, M
2025-07-20, M, 0.00, M, M
2025-07-21, 69.5, 0.00, M, M
2025-07-22, M, 0.00, M, M
2025-07-23, M, M, M, M
2025-07-24, 82.5, M, M, M
2025-07-25, 75.5, M, M, M
2025-07-26, 76.0, M, M, M
2025-07-27, 79.5, M, M, M
2025-07-28, M, M, M, M
2025-07-29, M, M, M, M
2025-07-30, M, M, M, M
2025-07-31, M, M, M, M
2025-08-01, M, 0.00, M, M
2025-08-02, M, 0.00, M, M
2025-08-03, M, 0.00, M, M
2025-08-04, M, M, M, M
2025-08-05, M, M, M, M
2025-08-06, M, M, M, M
2025-08-07, 79.0, M, M, M
2025-08-08, 82.0, M, M, M
2025-08-09, 84.0, M, M, M
2025-08-10, 78.5, M, M, M
2025-08-11, 80.5, M, M, M
2025-08-12, 75.5, M, M, M
2025-08-13, 75.0, M, M, M
2025-08-14, 72.5, M, M, M
2025-08-15, 78.0, M, M, M
2025-08-16, 80.0, M, M, M
2025-08-17, 72.5, M, M, M
2025-08-18, 77.0, M, M, M
2025-08-19, 72.5, M, M, M
2025-08-20, 70.5, M, M, M
2025-08-21, 69.5, M, M, M
2025-08-22, 72.5, M, M, M
2025-08-23, 72.5, M, M, M
2025-08-24, 63.5, M, M, M
2025-08-25, 60.0, M, M, M
2025-08-26, 60.5, M, M, M
2025-08-27, 62.5, M, M, M
2025-08-28, 66.0, M, M, M
2025-08-29, 58.0, M, M, M
2025-08-30, 63.5, M, M, M
2025-08-31, 60.5, M, M, M
2025-09-01, 67.0, M, M, M
2025-09-02, 65.5, M, M, M
2025-09-03, 65.5, M, M, M
2025-09-04, 53.5, M, M, M
2025-09-05, 59.0, M, M, M
2025-09-06, 55.5, M, M, M
2025-09-07, 55.5, 0.00, M, M
2025-09-08, 57.5, 0.00, M, M
2025-09-09, 63.5, 0.00, M, M
2025-09-10, 66.0, 0.00, M, M
2025-09-11, 68.0, 0.00, M, M
2025-09-12, 67.0, M, M, M
2025-09-13, 70.0, M, M, M
2025-09-14, 71.0, M, M, M
2025-09-15, 70.0, M, M, M
2025-09-16, 69.0, M, M, M
2025-09-17, 69.0, M, M, M
2025-09-18, M, 0.00, M, M
2025-09-19, M, M, M, M
2025-09-20, M, M, M, M
2025-09-21, M, M, M, M
2025-09-22, M, M, M, M
2025-09-23, M, M, M, M
2025-09-24, M, M, M, M
2025-09-25, 65.0, M, M, M
2025-09-26, 68.5, M, M, M
2025-09-27, 70.5, M, M, M
2025-09-28, 66.0, M, M, M
2025-09-29, 69.0, M, M, M
2025-09-30, 69.0, M, M, M
2025-10-01, 65.5, 0.00, M, M
2025-10-02, 70.0, 0.00, M, M
2025-10-03, 74.5, 0.00, M, M
2025-10-04, 74.5, 0.00, M, M
2025-10-05, 71.5, 0.00, M, M
2025-10-06, 70.0, M, M, M
2025-10-07, 58.0, M, M, M
