YEAR,MO,DY,ALLSKY_SFC_SW_DWN,downwards_irr
2026,1,1,0.7234,-999
2026,1,2,2.2366,-999
2026,1,3,0.6852,-999
2026,1,4,2.1156,-999
2026,1,5,1.5307,-999
2026,1,6,0.6338,-999
2026,1,7,1.4971,-999
2026,1,8,0.893,-999
2026,1,9,2.2313,-999
2026,1,10,0.6746,-999
2026,1,11,1.3049,-999
2026,1,12,2.2128,-999
2026,1,13,2.3789,-999
2026,1,14,0.9638,-999
2026,1,15,2.184,-999
2026,1,16,0.9055,-999
2026,1,17,0.9732,-999
2026,1,18,1.5624,-999
2026,1,19,2.0467,-999
2026,1,20,2.7079,-999
2026,1,21,1.3649,-999
2026,1,22,1.6949,-999
2026,1,23,1.6368,-999
2026,1,24,1.5986,-999
2026,1,25,0.7723,-999
2026,1,26,2.346,-999
2026,1,27,1.6608,-999
2026,1,28,2.1439,-999
2026,1,29,2.3568,-999
2026,1,30,1.5962,-999
2026,1,31,2.3112,-999
2026,2,1,2.6299,-999
2026,2,2,0.8983,-999
2026,2,3,1.3253,-999
2026,2,4,1.3711,-999
2026,2,5,1.3397,-999
2026,2,6,0.8599,-999
2026,2,7,2.5466,-999
2026,2,8,2.2747,-999
2026,2,9,2.6402,-999
2026,2,10,3.0192,-999
2026,2,11,3.4265,-999
2026,2,12,2.5829,-999
2026,2,13,3.3977,-999
2026,2,14,3.0751,-999
2026,2,15,3.6132,-999
2026,2,16,3.2707,-999
2026,2,17,1.7326,-999
2026,2,18,3.8083,-999
2026,2,19,3.539,-999
2026,2,20,0.8126,-999
2026,2,21,1.0097,-999
2026,2,22,1.843,-999
2026,2,23,2.1226,-999
2026,2,24,1.3874,-999
2026,2,25,4.2271,-999
2026,2,26,2.7358,-999
2026,2,27,3.6593,-999
2026,2,28,2.125,-999
2026,3,1,4.039,-999
2026,3,2,4.4407,-999
2026,3,3,1.5199,-999
2026,3,4,3.0228,-999
2026,3,5,1.3188,-999
2026,3,6,0.7411,-999
2026,3,7,1.6872,-999
2026,3,8,4.6454,-999
2026,3,9,4.6411,-999
2026,3,10,1.8331,-999
2026,3,11,0.7027,-999
2026,3,12,5.027,-999
2026,3,13,3.965,-999
2026,3,14,2.2159,-999
2026,3,15,0.8203,-999
2026,3,16,1.9584,-999
2026,3,17,4.1014,-999
2026,3,18,2.6906,-999
2026,3,19,5.1206,-999
2026,3,20,4.7532,-999
2026,3,21,4.8245,-999
2026,3,22,1.4086,-999
2026,3,23,5.7163,-999
2026,3,24,3.3494,-999
2026,3,25,5.2584,-999
2026,3,26,2.5387,-999
2026,3,27,5.3081,-999
2026,3,28,5.8018,-999
2026,3,29,3.7949,-999
2026,3,30,5.3234,-999
2026,3,31,1.4772,-999
2026,4,1,2.5706,-999
2026,4,2,1.0092,-999
2026,4,3,-999,-999
2026,4,4,1.4086,-999
2026,4,5,6.1819,-999
2026,4,6,4.1098,-999
2026,4,7,6.4272,-999
2026,4,8,5.4545,-999
2026,4,9,6.2498,-999
2026,4,10,3.4939,-999
2026,4,11,4.6889,-999
2026,4,12,2.875,-999
2026,4,13,3.7056,-999
2026,4,14,6.1226,-999
2026,4,15,2.467,-999
2026,4,16,4.7837,-999
2026,4,17,6.1111,-999
2026,4,18,5.6366,-999
2026,4,19,5.082,-999
2026,4,20,6.8743,-999
2026,4,21,0.984,-999
2026,4,22,6.4234,-999
2026,4,23,6.167,-999
2026,4,24,2.239,-999
2026,4,25,-999,-999
2026,4,26,-999,-999
2026,4,27,-999,-999
2026,4,28,-999,-999
2026,4,29,-999,-999
