YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI
2024,12,1,0,0,0
2024,12,1,1,0,0
2024,12,1,2,0,0
2024,12,1,3,0,0
2024,12,1,4,0,0
2024,12,1,5,0,0
2024,12,1,6,0,0
2024,12,1,7,0.09,0.55
2024,12,1,8,0.37,1.01
2024,12,1,9,0.63,1.36
2024,12,1,10,0.81,1.5
2024,12,1,11,0.89,1.68
2024,12,1,12,0.87,1.7
2024,12,1,13,0.7,1.75
2024,12,1,14,0.44,1.34
2024,12,1,15,0.16,0.79
2024,12,1,16,0,0
2024,12,1,17,0,0
2024,12,1,18,0,0
2024,12,1,19,0,0
2024,12,1,20,0,0
2024,12,1,21,0,0
2024,12,1,22,0,0
2024,12,1,23,0,0
2024,12,2,0,0,0
2024,12,2,1,0,0
2024,12,2,2,0,0
2024,12,2,3,0,0
2024,12,2,4,0,0
2024,12,2,5,0,0
2024,12,2,6,0,0
2024,12,2,7,0.05,0.61
2024,12,2,8,0.25,0.66
2024,12,2,9,0.45,0.87
2024,12,2,10,0.62,0.85
2024,12,2,11,0.68,1
2024,12,2,12,0.71,1.15
2024,12,2,13,0.59,1.19
2024,12,2,14,0.41,1.16
2024,12,2,15,0.16,0.59
2024,12,2,16,0,0
2024,12,2,17,0,0
2024,12,2,18,0,0
2024,12,2,19,0,0
2024,12,2,20,0,0
2024,12,2,21,0,0
2024,12,2,22,0,0
2024,12,2,23,0,0
2024,12,3,0,0,0
2024,12,3,1,0,0
2024,12,3,2,0,0
2024,12,3,3,0,0
2024,12,3,4,0,0
2024,12,3,5,0,0
2024,12,3,6,0,0
2024,12,3,7,0.08,0.78
2024,12,3,8,0.43,1.47
2024,12,3,9,0.75,2.15
2024,12,3,10,0.94,2.1
2024,12,3,11,1.08,2.22
2024,12,3,12,1,2.19
2024,12,3,13,0.91,1.3
2024,12,3,14,0.54,1.04
2024,12,3,15,0.18,0.33
2024,12,3,16,0,0
2024,12,3,17,0,0
2024,12,3,18,0,0
2024,12,3,19,0,0
2024,12,3,20,0,0
2024,12,3,21,0,0
2024,12,3,22,0,0
2024,12,3,23,0,0
2024,12,4,0,0,0
2024,12,4,1,0,0
2024,12,4,2,0,0
2024,12,4,3,0,0
2024,12,4,4,0,0
2024,12,4,5,0,0
2024,12,4,6,0,0
2024,12,4,7,0.07,0.26
2024,12,4,8,0.32,0.65
2024,12,4,9,0.57,0.75
2024,12,4,10,0.72,1.18
2024,12,4,11,0.78,1.27
2024,12,4,12,0.71,0.13
2024,12,4,13,0.54,0.17
2024,12,4,14,0.33,0.2
2024,12,4,15,0.11,0.12
2024,12,4,16,0,0
2024,12,4,17,0,0
2024,12,4,18,0,0
2024,12,4,19,0,0
2024,12,4,20,0,0
2024,12,4,21,0,0
2024,12,4,22,0,0
2024,12,4,23,0,0
2024,12,5,0,0,0
2024,12,5,1,0,0
2024,12,5,2,0,0
2024,12,5,3,0,0
2024,12,5,4,0,0
2024,12,5,5,0,0
2024,12,5,6,0,0
2024,12,5,7,0.08,0.7
2024,12,5,8,0.38,1.58
2024,12,5,9,0.7,2.05
2024,12,5,10,0.96,2.27
2024,12,5,11,1.09,2.39
2024,12,5,12,1.07,2.41
2024,12,5,13,0.82,1.85
2024,12,5,14,0.51,1.36
2024,12,5,15,0.17,0.81
2024,12,5,16,0,0
2024,12,5,17,0,0
2024,12,5,18,0,0
2024,12,5,19,0,0
2024,12,5,20,0,0
2024,12,5,21,0,0
2024,12,5,22,0,0
2024,12,5,23,0,0
2024,12,6,0,0,0
2024,12,6,1,0,0
2024,12,6,2,0,0
2024,12,6,3,0,0
2024,12,6,4,0,0
2024,12,6,5,0,0
2024,12,6,6,0,0
2024,12,6,7,0.1,0.76
2024,12,6,8,0.42,1.46
2024,12,6,9,0.68,1.52
2024,12,6,10,0.84,1.54
2024,12,6,11,0.86,1.35
2024,12,6,12,0.74,0.93
2024,12,6,13,1.01,2.1
2024,12,6,14,0.65,1.82
2024,12,6,15,0.24,0.93
2024,12,6,16,0,0
2024,12,6,17,0,0
2024,12,6,18,0,0
2024,12,6,19,0,0
2024,12,6,20,0,0
2024,12,6,21,0,0
2024,12,6,22,0,0
2024,12,6,23,0,0
2024,12,7,0,0,0
2024,12,7,1,0,0
2024,12,7,2,0,0
2024,12,7,3,0,0
2024,12,7,4,0,0
2024,12,7,5,0,0
2024,12,7,6,0,0
2024,12,7,7,0.05,0.05
2024,12,7,8,0.14,0
2024,12,7,9,0.46,0.06
2024,12,7,10,0.71,0.07
2024,12,7,11,0.72,0
2024,12,7,12,0.7,0.07
2024,12,7,13,0.61,0.08
2024,12,7,14,0.39,0.06
2024,12,7,15,0.13,0.02
2024,12,7,16,0,0
2024,12,7,17,0,0
2024,12,7,18,0,0
2024,12,7,19,0,0
2024,12,7,20,0,0
2024,12,7,21,0,0
2024,12,7,22,0,0
2024,12,7,23,0,0
2024,12,8,0,0,0
2024,12,8,1,0,0
2024,12,8,2,0,0
2024,12,8,3,0,0
2024,12,8,4,0,0
2024,12,8,5,0,0
2024,12,8,6,0,0
2024,12,8,7,0.08,0.14
2024,12,8,8,0.5,1.31
2024,12,8,9,0.93,2.12
2024,12,8,10,1.25,2.47
2024,12,8,11,1.4,2.79
2024,12,8,12,1.35,2.85
2024,12,8,13,1.11,2.51
2024,12,8,14,0.71,1.91
2024,12,8,15,0.24,0.91
2024,12,8,16,0,0
2024,12,8,17,0,0
2024,12,8,18,0,0
2024,12,8,19,0,0
2024,12,8,20,0,0
2024,12,8,21,0,0
2024,12,8,22,0,0
2024,12,8,23,0,0
2024,12,9,0,0,0
2024,12,9,1,0,0
2024,12,9,2,0,0
2024,12,9,3,0,0
2024,12,9,4,0,0
2024,12,9,5,0,0
2024,12,9,6,0,0
2024,12,9,7,0.06,0.23
2024,12,9,8,0.23,0.43
2024,12,9,9,0.56,0.67
2024,12,9,10,0.84,0.63
2024,12,9,11,0.97,0.48
2024,12,9,12,0.87,0.16
2024,12,9,13,0.7,0.14
2024,12,9,14,0.45,0.11
2024,12,9,15,0.15,0.03
2024,12,9,16,0,0
2024,12,9,17,0,0
2024,12,9,18,0,0
2024,12,9,19,0,0
2024,12,9,20,0,0
2024,12,9,21,0,0
2024,12,9,22,0,0
2024,12,9,23,0,0
2024,12,10,0,0,0
2024,12,10,1,0,0
2024,12,10,2,0,0
2024,12,10,3,0,0
2024,12,10,4,0,0
2024,12,10,5,0,0
2024,12,10,6,0,0
2024,12,10,7,0.03,0.18
2024,12,10,8,0.1,0.27
2024,12,10,9,0.19,0.23
2024,12,10,10,0.25,0.21
2024,12,10,11,0.24,0.2
2024,12,10,12,0.19,0.12
2024,12,10,13,0.14,0.1
2024,12,10,14,0.08,0.09
2024,12,10,15,0.03,0.04
2024,12,10,16,0,0
2024,12,10,17,0,0
2024,12,10,18,0,0
2024,12,10,19,0,0
2024,12,10,20,0,0
2024,12,10,21,0,0
2024,12,10,22,0,0
2024,12,10,23,0,0
2024,12,11,0,0,0
2024,12,11,1,0,0
2024,12,11,2,0,0
2024,12,11,3,0,0
2024,12,11,4,0,0
2024,12,11,5,0,0
2024,12,11,6,0,0
2024,12,11,7,0.02,0.16
2024,12,11,8,0.14,0.28
2024,12,11,9,0.31,0.31
2024,12,11,10,0.46,0.46
2024,12,11,11,0.61,0.63
2024,12,11,12,0.59,0.7
2024,12,11,13,0.43,0.63
2024,12,11,14,0.28,0.63
2024,12,11,15,0.12,0.39
2024,12,11,16,0,0
2024,12,11,17,0,0
2024,12,11,18,0,0
2024,12,11,19,0,0
2024,12,11,20,0,0
2024,12,11,21,0,0
2024,12,11,22,0,0
2024,12,11,23,0,0
2024,12,12,0,0,0
2024,12,12,1,0,0
2024,12,12,2,0,0
2024,12,12,3,0,0
2024,12,12,4,0,0
2024,12,12,5,0,0
2024,12,12,6,0,0
2024,12,12,7,0.05,0.22
2024,12,12,8,0.2,0.19
2024,12,12,9,0.43,0.2
2024,12,12,10,0.56,0.14
2024,12,12,11,0.73,0.06
2024,12,12,12,0.53,0.05
2024,12,12,13,0.43,0
2024,12,12,14,0.4,0.48
2024,12,12,15,0.09,0.07
2024,12,12,16,0,0
2024,12,12,17,0,0
2024,12,12,18,0,0
2024,12,12,19,0,0
2024,12,12,20,0,0
2024,12,12,21,0,0
2024,12,12,22,0,0
2024,12,12,23,0,0
2024,12,13,0,0,0
2024,12,13,1,0,0
2024,12,13,2,0,0
2024,12,13,3,0,0
2024,12,13,4,0,0
2024,12,13,5,0,0
2024,12,13,6,0,0
2024,12,13,7,0.06,0.44
2024,12,13,8,0.36,1.05
2024,12,13,9,0.71,1.18
2024,12,13,10,0.98,1.47
2024,12,13,11,1.11,1.34
2024,12,13,12,1.14,1.45
2024,12,13,13,1.01,2.49
2024,12,13,14,0.63,1.14
2024,12,13,15,0.21,0.27
2024,12,13,16,0,0
2024,12,13,17,0,0
2024,12,13,18,0,0
2024,12,13,19,0,0
2024,12,13,20,0,0
2024,12,13,21,0,0
2024,12,13,22,0,0
2024,12,13,23,0,0
2024,12,14,0,0,0
2024,12,14,1,0,0
2024,12,14,2,0,0
2024,12,14,3,0,0
2024,12,14,4,0,0
2024,12,14,5,0,0
2024,12,14,6,0,0
2024,12,14,7,0.04,0.03
2024,12,14,8,0.24,0
2024,12,14,9,0.51,0.07
2024,12,14,10,0.71,0.08
2024,12,14,11,0.77,0.03
2024,12,14,12,0.7,0.01
2024,12,14,13,0.57,0.04
2024,12,14,14,0.4,0.09
2024,12,14,15,0.11,0
2024,12,14,16,0,0
2024,12,14,17,0,0
2024,12,14,18,0,0
2024,12,14,19,0,0
2024,12,14,20,0,0
2024,12,14,21,0,0
2024,12,14,22,0,0
2024,12,14,23,0,0
2024,12,15,0,0,0
2024,12,15,1,0,0
2024,12,15,2,0,0
2024,12,15,3,0,0
2024,12,15,4,0,0
2024,12,15,5,0,0
2024,12,15,6,0,0
2024,12,15,7,0.02,0.06
2024,12,15,8,0.15,0.43
2024,12,15,9,0.32,0.56
2024,12,15,10,0.45,0.55
2024,12,15,11,0.48,0.53
2024,12,15,12,0.41,0.02
2024,12,15,13,0.45,1
2024,12,15,14,0.28,0.88
2024,12,15,15,0.08,0.3
2024,12,15,16,0,0
2024,12,15,17,0,0
2024,12,15,18,0,0
2024,12,15,19,0,0
2024,12,15,20,0,0
2024,12,15,21,0,0
2024,12,15,22,0,0
2024,12,15,23,0,0
2024,12,16,0,0,0
2024,12,16,1,0,0
2024,12,16,2,0,0
2024,12,16,3,0,0
2024,12,16,4,0,0
2024,12,16,5,0,0
2024,12,16,6,0,0
2024,12,16,7,0.03,0.03
2024,12,16,8,0.15,0.21
2024,12,16,9,0.36,0.41
2024,12,16,10,0.53,0.67
